,train-auc-mean,train-auc-std,test-auc-mean,test-auc-std
0,0.9920306,0.0002651404156291539,0.9838768,0.0013361638222912657
1,0.9942802000000001,0.00013301187916873216,0.9873114,0.0012498762498743545
2,0.9951024,0.00020595106214827994,0.9886465999999998,0.0014944222428751428
3,0.9957594000000001,0.00020196692798576122,0.9889123999999999,0.0012958378910959587
4,0.9957419999999999,0.00018009886173986806,0.9884176,0.0012799263416306665
5,0.9956354,0.00019704882643649415,0.9878684,0.0011768358594128427
6,0.9960609999999999,0.0001706247344320417,0.9886426,0.0010538511469842758
7,0.9963000000000001,0.0001549761271938423,0.9891656000000001,0.0009880669208105165
8,0.99644,0.0001734312543920401,0.9894566000000001,0.0009215349369394595
9,0.9966394000000001,0.0001929026697586247,0.9896858,0.0009245704732469161
10,0.9967982,0.00016947613401300425,0.9896003999999999,0.0009805338545914827
11,0.9969205999999999,0.00017077892141598058,0.9898498,0.0010089319897792941
12,0.997012,0.0001583275086647842,0.9897728000000001,0.0010198677169123262
13,0.997105,0.000183166590840125,0.9899478,0.0010333126148460421
14,0.9971534,0.00017175051673869093,0.9898453999999999,0.000962268070757823
15,0.9972648000000002,0.00015799164534874052,0.990019,0.0009687854251587447
16,0.9973579999999999,0.00016686881074664807,0.9902062,0.0009491578161717576
17,0.9974295999999999,0.00016198222124665408,0.9902842,0.0009214552403670924
18,0.9975052000000002,0.0001722467996800103,0.9904186000000001,0.0008625628324939701
19,0.9975837999999999,0.0001660570986136855,0.9905012,0.0008652348582899437
20,0.9976343999999999,0.00014596931184326925,0.9904295999999999,0.0008840969630080033
21,0.997696,0.000140767894066785,0.9905286,0.0008937029931694331
22,0.997757,0.0001275335250042037,0.9905854,0.0009131989049489462
23,0.9978098,0.00012052120145434716,0.990629,0.0009258982665498367
24,0.9978668,0.00012294779379884882,0.9907116,0.0009099152927608231
25,0.9979216,0.00011592687350223863,0.9907156,0.0009361646436391448
26,0.9979828,9.956184007941833e-05,0.9906159999999999,0.0009551280542419533
27,0.998038,9.655464773897903e-05,0.990677,0.0009501029417910728
28,0.9980742000000001,9.730035971157935e-05,0.9906289999999999,0.0009544816394252878
29,0.9981253999999999,0.0001008257903515039,0.9906798,0.000952249421107735
30,0.998164,9.991796635238357e-05,0.9906130000000001,0.0009292448547073157
31,0.9982076,9.660351960460196e-05,0.9907117999999999,0.0009412904758893558
32,0.9982608000000001,8.401761720022586e-05,0.990721,0.000949910943194147
33,0.9983017999999999,8.28091782352706e-05,0.9907751999999999,0.0009538057244533485
34,0.9983435999999999,8.486601204251683e-05,0.9908417999999999,0.0009617728214084744
35,0.9983844,8.541334790301642e-05,0.9909126,0.000948514754761381
36,0.9984236000000001,9.028311026985839e-05,0.9909636,0.0009468927288769063
37,0.9984527999999999,8.287194941595646e-05,0.9910327999999999,0.0009543805111170346
38,0.9984788,8.082425378561883e-05,0.9910652000000001,0.0009470724153938873
39,0.9985216000000001,7.215705093753694e-05,0.9911034000000001,0.0009581712999250299
40,0.9985582000000001,6.685925515592206e-05,0.9911498,0.0009659381760754636
41,0.9985866,6.564632510658238e-05,0.9911177999999999,0.0009732698289785531
42,0.9986134,6.533176868874544e-05,0.9911508,0.0009674873435864701
43,0.9986385999999999,6.337381162593247e-05,0.99117,0.0009662150899256199
44,0.9986649999999999,6.0965564050537183e-05,0.9912230000000001,0.0009829386552577888
45,0.9987016000000001,5.6718956266838265e-05,0.9913000000000001,0.0009747734095675872
46,0.9987258000000001,5.5322328222894965e-05,0.9912996,0.0009855290153009295
47,0.998757,5.156355301955151e-05,0.9913164,0.0009743277887857011
48,0.9987824,5.013820898276777e-05,0.9912955999999999,0.0009793006892675927
49,0.9988047999999999,4.97891554457383e-05,0.9913212000000001,0.0009818479311991101
50,0.9988274,4.954432359008454e-05,0.9913672,0.0009702606660068034
51,0.9988576,4.8742589180328564e-05,0.9914120000000001,0.0009731591853340318
52,0.9988810000000001,4.987584585747585e-05,0.9914634,0.0009715564008332205
53,0.9989051999999999,4.9579834610452046e-05,0.9915084000000001,0.0009698462971007013
54,0.9989220000000001,4.6840153714517364e-05,0.9915282,0.0009669615090581424
55,0.9989380000000001,4.3095243356988396e-05,0.9915499999999999,0.0009511923044264062
56,0.9989582,4.3059958197842335e-05,0.9915512000000002,0.0009520385286320943
57,0.998977,3.995497465898077e-05,0.9915754000000001,0.000943346723108758
58,0.9989926,4.024723592991222e-05,0.9915900000000001,0.0009430463403248056
59,0.9990129999999999,3.648561360320038e-05,0.9916087999999998,0.0009293923606314027
60,0.9990356,3.448245930906696e-05,0.9915816,0.0009338240947844611
61,0.9990532,3.563369192208297e-05,0.9916024,0.0009265008580676025
62,0.9990701999999999,3.2902279556284146e-05,0.9916347999999999,0.0009304333184060122
63,0.999085,2.986636904612142e-05,0.9916522000000001,0.0009261169256632955
64,0.9991006,2.9957302949368023e-05,0.9916657999999998,0.0009389439599890655
65,0.9991144000000001,2.9316207121631724e-05,0.9916748,0.0009310818223980324
66,0.9991266,3.0335457801071845e-05,0.9916708,0.0009274546673557703
67,0.9991410000000001,3.170488921286976e-05,0.9916908,0.0009268016832095193
68,0.9991566000000001,3.12448395738938e-05,0.9917156,0.0009298700124210824
69,0.99917,3.0685501462420255e-05,0.9917128000000002,0.0009396004257129612
70,0.9991859999999999,2.9651306885207223e-05,0.9917119999999999,0.0009467967046837282
71,0.9991984,2.8345017198793622e-05,0.9917248000000001,0.000943260388227978
72,0.9992118,2.8798611077605862e-05,0.9917480000000001,0.0009370588028507198
73,0.9992243999999999,2.8674727548820367e-05,0.9917617999999999,0.0009376273033567237
74,0.9992414000000001,2.7846723326073907e-05,0.9917902,0.0009323478749908936
75,0.9992538,2.7110145702300542e-05,0.9918028,0.0009312081185212902
76,0.9992712000000001,2.844222213539336e-05,0.9918173999999998,0.0009241354013346651
77,0.9992838,2.648320222331286e-05,0.9918374,0.0009314216231116933
78,0.9993017999999999,2.4473659309559257e-05,0.9918448,0.0009230612980728674
79,0.9993142,2.303388807823376e-05,0.9918678,0.0009335076646712499
80,0.999325,2.2917242417013005e-05,0.9918821999999998,0.0009280942624540032
81,0.9993344000000001,2.230336297514394e-05,0.9919005999999999,0.0009232881673670293
82,0.9993433999999999,2.24107117245436e-05,0.9919244,0.0009221066315779342
83,0.9993584,2.1996363335792667e-05,0.9919378,0.0009148651048105215
84,0.9993740000000001,2.412467616362753e-05,0.9919492,0.0009074737241375085
85,0.999385,2.340085468524806e-05,0.991968,0.0009058540721330216
86,0.9993948000000001,2.2929457036730425e-05,0.9919758,0.0009107209012644904
