,train-auc-mean,train-auc-std,test-auc-mean,test-auc-std
0,0.9875630000000001,0.00047843160430727043,0.9873607999999999,0.0005110445773119905
1,0.9915459999999999,0.0003440999854693364,0.991295,0.0005689256541939504
2,0.9938898,0.00028188181920799635,0.9936412000000001,0.0004567346713355564
3,0.9956118,0.0002225510278565339,0.9953776,0.0002829788684690081
4,0.9959198,6.601636160832649e-05,0.9957132,0.00016538851229754419
5,0.9961396,6.291454521810536e-05,0.9959292,0.00014511705619947273
6,0.9962592000000001,6.601939109077499e-05,0.9960443999999999,0.0001269560553892591
7,0.9965740000000001,4.35889894354111e-05,0.9963592,0.0001446172880398318
8,0.996726,2.914103635769382e-05,0.9965168,0.00014195830373741814
9,0.9968350000000001,3.706750598568953e-05,0.9966198000000001,0.00013613581453829395
10,0.9968876,3.509187940250132e-05,0.996672,0.00013998142733946437
11,0.9970272,2.347253714449455e-05,0.9968091999999998,0.00013242718754094497
12,0.9970636,1.893779290202795e-05,0.996827,0.00013921781495197962
13,0.9971859999999999,2.581472448042182e-05,0.9969424,0.00014019072722546512
14,0.9972331999999999,2.7476535443912376e-05,0.9969850000000001,0.0001384759906987459
15,0.9973219999999999,2.7371518043413284e-05,0.9970686000000001,0.0001326372496699143
16,0.9973892,2.571692049995469e-05,0.9971322,0.00012842024762474018
17,0.9974412000000001,2.5748009631806466e-05,0.9971815999999999,0.00012709461042860324
18,0.9974934,2.2676860452887473e-05,0.9972259999999998,0.00011990663034209384
19,0.9975384,1.900105260242689e-05,0.9972688,0.00011136498552058346
20,0.9975786,1.9520245900093757e-05,0.9973036000000001,0.0001134929072673902
21,0.9976206,2.361863670919425e-05,0.9973354000000001,0.00010928055636757695
22,0.9976586000000001,2.6264805348633997e-05,0.9973694,0.00010954925832700226
23,0.9976929999999999,2.419090738276478e-05,0.997395,0.00010645374582418349
24,0.9977098,2.5356655930917386e-05,0.9974057999999999,0.00011048149166263128
25,0.9977360000000001,2.68104457254754e-05,0.9974300000000001,0.00011079530675978001
26,0.9977534,2.62800304413695e-05,0.9974348000000001,0.00011290066430271603
27,0.9977803999999999,2.5507645912552053e-05,0.9974516,0.00011490622263395135
28,0.9977967999999999,3.018873962258852e-05,0.9974584,0.00011227573201721046
29,0.997818,2.9407482041129118e-05,0.9974720000000001,0.00012211306236437864
30,0.997856,2.5690465157334346e-05,0.9975018,0.00012021048207206666
31,0.9978864,2.5040766761439437e-05,0.9975238,0.00011230031166473675
32,0.9979106,2.6150334605888148e-05,0.9975386,0.0001056666456361631
33,0.9979308,2.5372425977801363e-05,0.9975513999999999,0.0001020991674794682
34,0.9979592,2.40116638323825e-05,0.997574,9.938007848657314e-05
35,0.9979734,2.5096613317319737e-05,0.9975846,9.932089407570414e-05
36,0.9979848,2.4342555330119483e-05,0.9975916,0.0001010041583302289
37,0.9979988000000001,2.0663010429285485e-05,0.9976003999999999,0.00010298271699657813
38,0.9980068,2.0360746548175148e-05,0.997603,0.00010271319292086824
39,0.9980195999999999,2.0895932618598873e-05,0.997609,0.00010105839895822656
40,0.9980437999999999,1.8691174387963025e-05,0.9976262,0.00010111656639741755
41,0.9980562,2.0932271735265144e-05,0.9976326,0.00010166730054446312
42,0.9980674,2.1546229368473972e-05,0.9976396,0.00010465677235611463
43,0.9980774,2.2392856003656143e-05,0.9976459999999999,0.00010290383860672501
44,0.998098,2.0532900428338027e-05,0.9976597999999999,0.00010617419648860175
45,0.9981212000000002,2.063395260243421e-05,0.9976768,0.00010189288493314077
46,0.9981302,2.042939059298668e-05,0.9976763999999999,0.0001012493950599518
47,0.9981486,1.9945926902512548e-05,0.9976879999999999,0.00010126203632161163
48,0.998162,2.0899760764154104e-05,0.997696,9.976372086083225e-05
49,0.9981714,2.1758676430330478e-05,0.9976980000000001,9.89686819150392e-05
50,0.9981842000000001,2.3489572154452202e-05,0.99771,9.583944908021174e-05
51,0.9982004,2.0915066339850797e-05,0.9977232,9.748722993294756e-05
52,0.9982134,1.9489484344135602e-05,0.9977320000000001,9.692883987750422e-05
53,0.9982254000000002,1.863974248749965e-05,0.997736,9.896868191505131e-05
54,0.9982378000000001,1.9114392483169727e-05,0.9977419999999999,9.663953642273897e-05
55,0.9982494,1.8467268341585044e-05,0.9977482,9.641244732916542e-05
56,0.9982595999999999,1.8282231811239938e-05,0.9977522000000001,9.444448104574182e-05
57,0.9982700000000001,1.8341210428972545e-05,0.9977572,9.479957805813804e-05
58,0.9982802,1.9394844675835032e-05,0.9977622,9.461796869516208e-05
59,0.9982861999999999,2.0807690885813148e-05,0.9977646,9.406721001495671e-05
60,0.9982946,1.9744366285088194e-05,0.9977648,9.586323591450036e-05
61,0.9983048,1.8334666618171468e-05,0.9977706,9.787870044088735e-05
62,0.998312,2.0405881505081666e-05,0.9977724,9.405019936183764e-05
63,0.9983196,2.098189695903287e-05,0.9977752000000001,9.542620185251741e-05
64,0.9983276,2.149046300106383e-05,0.9977774,9.268570547825832e-05
65,0.9983362,2.0788458336292352e-05,0.9977796,9.211427685215854e-05
66,0.9983428,2.1018087448666473e-05,0.9977854,9.16419118089329e-05
67,0.9983532,2.0272148381480983e-05,0.99779,9.170169027883119e-05
68,0.9983596,2.055821003883787e-05,0.9977910000000001,8.954551915084557e-05
69,0.9983663999999999,2.0991426821431073e-05,0.9977926,8.912149011321495e-05
70,0.998373,2.164255068146246e-05,0.9977952,8.782345928051708e-05
71,0.998381,2.3194827009470832e-05,0.9977976,8.592694571553501e-05
72,0.9983886,2.4171057072445067e-05,0.9978016000000001,8.57918411039065e-05
73,0.9983972,2.352360516587014e-05,0.9978028,8.385081991251796e-05
74,0.9984046000000001,2.3234457170317755e-05,0.997806,8.191947265455068e-05
75,0.9984118000000001,2.1618510586963485e-05,0.9978082,8.343236781972086e-05
76,0.9984192000000001,2.198544973386491e-05,0.9978104,8.240776662425984e-05
77,0.9984247999999999,2.10276009092786e-05,0.9978104,8.138451941248373e-05
78,0.9984308000000001,2.0458738964095443e-05,0.9978130000000001,8.241601786059808e-05
79,0.9984386000000001,2.069396047160232e-05,0.9978181999999999,8.32115376615629e-05
80,0.9984459999999998,1.8984203960117e-05,0.9978187999999999,8.135207434357267e-05
81,0.9984525999999999,2.0065891457895558e-05,0.9978197999999999,7.975813438139135e-05
82,0.9984588000000001,1.9446336415860104e-05,0.9978218,7.774676842158247e-05
83,0.9984658,1.9177069640608285e-05,0.997823,7.706880043184011e-05
84,0.9984728,1.849756740763944e-05,0.9978239999999999,7.914290871583338e-05
85,0.998479,1.793320941717347e-05,0.997825,7.82994252852187e-05
86,0.998483,1.7640861656956202e-05,0.997825,7.846527894550737e-05
87,0.9984892000000001,1.6963490206931996e-05,0.9978262000000001,7.833109216652714e-05
88,0.9984959999999999,1.8352111595127344e-05,0.9978263999999999,7.756700329393672e-05
89,0.9985016,1.716508083288289e-05,0.9978274,7.767264640783649e-05
90,0.9985078,1.7116074316241783e-05,0.9978308,7.811120278168681e-05
91,0.9985158000000001,1.6630093204769303e-05,0.9978315999999999,8.024612140162218e-05
92,0.9985213999999999,1.674037036626918e-05,0.9978302000000001,8.092564488468245e-05
93,0.9985265999999999,1.6764247671775454e-05,0.9978317999999999,8.160980333269275e-05
94,0.9985326000000001,1.62923294835109e-05,0.9978336000000001,8.06166235958917e-05
95,0.9985389999999998,1.785497129650871e-05,0.997835,7.99674933957605e-05
96,0.9985434,1.795104453784721e-05,0.9978339999999999,8.010742787033242e-05
97,0.9985491999999999,1.7034083479895593e-05,0.9978344,8.025110591138176e-05
98,0.9985544000000001,1.651181395242582e-05,0.9978355999999999,8.051484335201235e-05
99,0.9985586,1.6402438843032835e-05,0.9978364000000001,7.842856622427235e-05
100,0.998564,1.732050807567661e-05,0.9978364,7.765461995273875e-05
101,0.9985684000000001,1.7350504315423313e-05,0.9978391999999999,7.711912862578844e-05
102,0.9985744000000001,1.738505104966732e-05,0.9978402000000001,7.604051551640452e-05
103,0.9985812,1.720929981144089e-05,0.9978404000000001,7.663054221391567e-05
104,0.998587,1.7977764043387427e-05,0.9978386,7.8583967830601e-05
105,0.9985918,1.826909959465988e-05,0.9978415999999999,7.909133960176048e-05
106,0.9985966000000002,1.874673304870933e-05,0.9978404000000001,7.980626541819978e-05
107,0.9986016,1.885311645327883e-05,0.9978396,8.129108192167759e-05
108,0.998606,1.798888545742999e-05,0.9978406,8.006147637908449e-05
109,0.998611,1.769745744450893e-05,0.9978408,8.093305875845816e-05
110,0.9986154,1.6704490414233973e-05,0.9978408,8.04845326755697e-05
111,0.9986214,1.741952927034681e-05,0.997841,8.122807396459147e-05
112,0.9986274000000002,1.642680735870466e-05,0.9978431999999999,8.099234531732394e-05
113,0.998632,1.6601204775561602e-05,0.9978446,8.230091129507897e-05
114,0.9986362,1.7679366504506968e-05,0.9978448,8.377445911491461e-05
115,0.9986406000000001,1.821647605877559e-05,0.9978463999999999,8.371045334964306e-05
116,0.9986461999999999,1.676186147178339e-05,0.9978465999999999,8.457801132682606e-05
117,0.9986505999999998,1.6487571076404932e-05,0.9978464,8.462056487639467e-05
118,0.9986554,1.6883127672320725e-05,0.9978466000000001,8.470088547354481e-05
119,0.9986602000000001,1.6448708155964894e-05,0.997848,8.5005882149405e-05
120,0.9986648,1.734819875375444e-05,0.9978465999999999,8.354304279829621e-05
121,0.9986684,1.703643155125478e-05,0.9978469999999999,8.569480731057948e-05
122,0.9986730000000001,1.7966635745160838e-05,0.9978456000000001,8.635878646666557e-05
123,0.9986782,1.801554883983143e-05,0.9978472,8.594509875496036e-05
124,0.9986828000000001,1.8301912468390566e-05,0.9978456000000001,8.720917382935907e-05
125,0.9986864000000001,1.9158288023720856e-05,0.9978462,8.646247741070468e-05
126,0.9986906,1.8607525359375794e-05,0.9978467999999999,8.785078258048108e-05
127,0.9986955999999999,1.9085072700955107e-05,0.9978494,8.683455533368435e-05
128,0.9987001999999998,1.8540765895715178e-05,0.99785,8.8220179097531e-05
129,0.9987045999999999,1.8478095139912118e-05,0.9978508000000001,8.835021222385769e-05
130,0.9987088,1.8519179247482075e-05,0.9978503999999999,8.87571968913148e-05
131,0.9987126,1.915828802372039e-05,0.9978507999999999,9.019844788023593e-05
132,0.9987164,1.9262398604533725e-05,0.9978498,9.065406775209066e-05
133,0.9987200000000002,1.9929877069348702e-05,0.9978476000000001,9.062803098379959e-05
134,0.9987242000000001,1.9823218709397306e-05,0.9978469999999999,9.095493389583502e-05
135,0.9987282000000001,1.9197916553636396e-05,0.997846,9.065980366182288e-05
136,0.9987321999999998,1.793766985981735e-05,0.9978474,9.068759562366014e-05
137,0.9987362,1.8475930287799833e-05,0.9978480000000001,9.069068309369244e-05
138,0.9987406,1.86611896726827e-05,0.9978491999999999,9.112716389750167e-05
139,0.9987452000000001,1.8454267799049212e-05,0.9978494,9.204042590078894e-05
140,0.9987490000000001,1.8330302779793238e-05,0.9978532000000001,9.189863981582586e-05
141,0.9987534,1.9106019993735684e-05,0.9978527999999999,9.223535114044173e-05
142,0.998757,2.0396078054358877e-05,0.9978536,9.100461526758063e-05
143,0.9987618000000001,2.01534116218345e-05,0.9978522,9.157379537839472e-05
144,0.9987658000000001,2.0682359633249226e-05,0.9978526000000001,9.078458018848329e-05
145,0.9987696000000001,2.01256055809274e-05,0.9978532000000001,9.072463832939105e-05
146,0.9987742000000001,2.0682359633265973e-05,0.9978558,9.083039138966006e-05
147,0.9987766,2.1067510531636443e-05,0.9978556,9.198391163679538e-05
148,0.9987804,2.1425218785338078e-05,0.9978532,9.211818495824116e-05
149,0.9987836000000001,2.0819221887462805e-05,0.9978542000000001,9.014965335483605e-05
150,0.9987874,2.092462663945154e-05,0.9978543999999999,9.142559816596251e-05
151,0.998791,2.0697825972796478e-05,0.9978558,9.195520648664127e-05
152,0.9987943999999999,2.128473631499231e-05,0.997856,9.058035107019955e-05
153,0.9987978,2.1423351745243644e-05,0.997857,8.96147309319291e-05
154,0.9988008,2.1572204337988336e-05,0.9978570000000001,8.9030331909966e-05
155,0.998804,2.1661024906500343e-05,0.9978582000000001,9.054148220567503e-05
156,0.9988067999999999,2.104661492972993e-05,0.9978583999999999,8.987902981231765e-05
157,0.9988092,2.0817300497416007e-05,0.9978579999999999,8.98509877519285e-05
158,0.9988122,2.0817300497424325e-05,0.9978592,8.832983640877953e-05
159,0.9988146,2.0343057783928743e-05,0.9978596,8.866927314466462e-05
160,0.9988189999999999,2.0571825392992734e-05,0.9978598,8.805543708369172e-05
161,0.9988221999999999,2.079807683418848e-05,0.9978626,8.972981667206219e-05
162,0.9988261999999999,2.0439178065656406e-05,0.9978632000000001,8.905369166968082e-05
163,0.9988300000000001,2.0337158110228373e-05,0.9978626,8.910353528338995e-05
164,0.9988341999999999,2.053679624478344e-05,0.9978614,8.888554438150765e-05
165,0.9988372,1.9973983078001427e-05,0.9978614,8.858351991201213e-05
166,0.9988408,2.0468512403218273e-05,0.9978606000000001,8.859480797425479e-05
167,0.9988444,2.0065891457899986e-05,0.9978618000000001,9.07268427754454e-05
168,0.9988478000000001,1.977270846396303e-05,0.9978624,9.237878544339186e-05
169,0.9988514000000001,1.9744366285095163e-05,0.997863,9.170169027885443e-05
170,0.9988542,1.9893717601289474e-05,0.9978636,9.281293013370414e-05
