,train-auc-mean,train-auc-std,test-auc-mean,test-auc-std,min_child_weight,colsample_bytree,max_depth,subsample,eta,gamma,reg_alpha,reg_lambda,n_estimators,callback
0,0.9991544000000001,2.2078043391588284e-05,0.9977786,6.76331279773403e-05,1.0,1.0,6,1.0,0.3,0.0,0.0,1.0,120,0
1,0.9990568,1.1016351483105222e-05,0.9979434000000001,6.649390949553458e-05,26.5344729945696,0.9131339929773469,9,0.9516030806611218,0.19654025332512126,12.479399225955067,2.991720193952575,14.043965403731033,299,0
2,0.9989276,1.9835322029137516e-05,0.9979314,7.392049783384463e-05,5.723081238465827,0.8932437338334553,5,0.9923617425183378,0.20287489898995664,9.048932411308142,8.892146954077475,2.9695245164057638,560,0
3,0.9968412000000001,3.733845203002997e-05,0.9963186,0.00016228197681813684,15.894977655826452,0.1291250975250169,12,0.9185987022126012,0.2576753770859016,4.022580935673252,5.783015865898744,5.985653060506591,503,0
4,0.9977022,2.5607811308268885e-05,0.9974462000000001,0.00010071226340421997,15.763208325433695,0.5739848471861102,2,0.9717461111446621,0.05242211894034415,5.562588184228952,4.724262879417147,18.089746651774167,3000,0
5,0.9988412,2.050755958176231e-05,0.9978241999999999,7.874363466336718e-05,25.510381366276487,0.7330531146754677,11,0.6449889610833277,0.42314897690615527,18.5598928803108,7.914518726460603,3.420003166130805,111,0
6,0.9979532000000001,2.486282365300944e-05,0.9975998,6.424141966052437e-05,1.2184296303991529,0.8202590308559818,2,0.5614631256093265,0.35649567151965983,19.879030944171983,9.431485377513905,19.385672613088488,882,0
7,0.9979568000000001,2.0123617964949493e-05,0.9975874000000001,7.826007922305132e-05,29.584294452166745,0.9443306012784128,2,0.8102399914741811,0.06786182405170199,19.977674436011533,1.7364905450927515,0.8968809864985983,3000,0
8,0.9911574,5.0819681226852715e-05,0.9909806,0.0002767414677998204,1.6606943664864058,0.16771589805050902,10,0.8918012081164793,0.00544976175886247,19.866321554481754,0.35365122295978324,19.94136450979708,17,0
9,0.998013,1.8590320061797473e-05,0.9975996,8.068357949423362e-05,27.153902162852614,0.7935985907020638,2,0.7022758841413439,0.4432177933865345,0.3177210924781426,9.963144058492945,1.8818298951613666,771,0
10,0.9984152,9.682974749558026e-06,0.9976792,7.452355332379906e-05,28.69720860272403,0.9376281546789839,3,0.5360980461621896,0.4579236120672694,0.7451233792565559,9.416905594405858,0.08397802140381438,641,0
11,0.9981548,1.5104966070819175e-05,0.9976564,8.922241870743371e-05,27.637594247757132,0.4255124995302021,2,0.9868237912853524,0.46596820767106484,0.4898246266799622,9.844869048543567,1.421863073530636,1559,0
12,0.9977056,2.4475293665256418e-05,0.9974614,9.513695391380536e-05,29.76010366636594,0.5909368298853369,2,0.7808621827222781,0.04604372119294786,4.467003959500198,8.980031384285349,0.31875153897097386,3000,0
13,0.9983232,1.1548160026615689e-05,0.9977280000000001,7.431016081263456e-05,28.405355362970514,0.401652030987141,3,0.686705276839928,0.3736056103456476,0.7279192423378622,9.786499548193062,0.32762638353775797,721,0
14,0.9980894000000001,2.089593261856572e-05,0.9976534000000001,7.313166208967757e-05,29.021115658986027,0.9262432701154065,2,0.706607111906878,0.2300334730936081,1.4483190015993652,9.66298484356696,1.204995009877916,1721,0
15,0.9983514000000001,2.6416661409043205e-05,0.9977134,7.003027916553642e-05,29.308451435847125,0.8004061486201719,3,0.5293732056410034,0.3923622522014555,1.5717313537242616,9.839413788936014,0.029269482619582732,655,0
