,train-auc-mean,train-auc-std,test-auc-mean,test-auc-std,min_child_weight,colsample_bytree,max_depth,subsample,eta,gamma,reg_alpha,reg_lambda,n_estimators,callback
0,0.9961493999999999,0.00013730200289872042,0.9918429999999999,0.0008166274548409202,1.0,1.0,6,1.0,0.3,0.0,0.0,1.0,33,0
1,0.9969892,7.42897031896155e-05,0.9917718000000001,0.0008162360932965526,26.5344729945696,0.9131339929773469,9,0.9516030806611218,0.19654025332512126,12.479399225955067,2.991720193952575,14.043965403731033,263,0
2,0.9960089999999999,9.786725703726586e-05,0.9919528,0.0008079951485002921,5.723081238465827,0.8932437338334553,5,0.9923617425183378,0.20287489898995664,9.048932411308142,8.892146954077475,2.9695245164057638,235,0
3,0.9921806,0.000132234034953178,0.9892548,0.0007617588594824381,15.894977655826452,0.1291250975250169,12,0.9185987022126012,0.2576753770859016,4.022580935673252,5.783015865898744,5.985653060506591,551,0
4,0.9932752,0.0001976394697422455,0.9913879999999999,0.0006493800120114755,15.763208325433695,0.5739848471861102,2,0.9717461111446621,0.05242211894034415,5.562588184228952,4.724262879417147,18.089746651774167,2031,0
5,0.9956544,0.00011492710733329605,0.9912850000000001,0.0007747541545548585,25.510381366276487,0.7330531146754677,11,0.6449889610833277,0.42314897690615527,18.5598928803108,7.914518726460603,3.420003166130805,150,0
6,0.9931789999999999,0.00019235695984288678,0.9910934000000001,0.0005796990943584518,1.2184296303991529,0.8202590308559818,2,0.5614631256093265,0.35649567151965983,19.879030944171983,9.431485377513905,19.385672613088488,413,0
7,0.9936828,0.0001647002125074702,0.9914428,0.0006982948947257313,29.584294452166745,0.9443306012784128,2,0.8102399914741811,0.06786182405170199,19.977674436011533,1.7364905450927515,0.8968809864985983,1428,0
8,0.9943607999999999,0.00014908038100298787,0.9917856,0.0006858625518280047,1.0178862902396528,0.8445818869239221,3,0.8286574677972122,0.059191816822890375,19.762595460019043,1.7677612172139145,18.944144653571243,813,0
9,0.9930094,0.00017005011026164905,0.9911838,0.0006897380372286384,1.0336258025433067,0.25961149775131953,2,0.7899732672452459,0.1792600202852111,18.904753936827138,2.7224677524044094,19.910095369387964,522,0
10,0.9939064,0.00012657266687559005,0.9911488,0.0006677267105635392,28.496563248565582,0.8331383238888478,3,0.5645306342116578,0.1267908540520058,0.5894860238065158,0.4716101192578015,19.90888884980334,576,0
11,0.9937898000000001,0.0002309245764313546,0.9914685999999999,0.0006471137767038937,1.0270118116863132,0.8109594859074173,2,0.5837244199379643,0.2315498974670981,19.477464465006133,2.8348223725104527,0.5722030459609195,302,0
12,0.9970642,9.655547628179986e-05,0.9910249999999999,0.0008039621881655505,29.979445031213533,0.5178529553110467,13,0.8668568648371964,0.49474142709607843,19.963078105264543,1.5492302892040777,0.26626185967363547,95,0
13,0.9790312,0.0004809267719725987,0.9782558,0.0016753156598086215,1.4234634703049867,0.21323725121472606,3,0.5477218594629534,0.026848293860584516,0.4983412507561491,0.09564038502822947,19.937914130864993,63,0
14,0.9939555999999999,0.00014946384178119763,0.9914482,0.0007278344317219374,29.20780028918677,0.7670995344750374,2,0.9781336210229277,0.35191757753834607,1.4559517725297488,5.565102875223378,0.3600291659200572,438,0
15,0.9938504,0.00015636828322904126,0.9913368,0.0006595693746680524,26.74622089153963,0.8301289268224047,2,0.9568939539433063,0.403875127917523,19.742648654079954,9.079761198846724,19.294076040411966,623,0
