,train-auc-mean,train-auc-std,test-auc-mean,test-auc-std,min_child_weight,colsample_bytree,max_depth,subsample,eta,gamma,reg_alpha,reg_lambda,n_estimators,callback
0,0.9997752,5.635601121425327e-06,0.9991738000000001,4.605822402134992e-05,1.0,1.0,6,1.0,0.3,0.0,0.0,1.0,59,0
1,0.9996476,6.77052435193009e-06,0.9992384000000001,4.660300419497404e-05,26.5344729945696,0.9131339929773469,9,0.9516030806611218,0.19654025332512126,12.479399225955067,2.991720193952575,14.043965403731033,161,0
2,0.999687,7.509993342198683e-06,0.9992279999999999,5.5551777649319604e-05,5.723081238465827,0.8932437338334553,5,0.9923617425183378,0.20287489898995664,9.048932411308142,8.892146954077475,2.9695245164057638,311,0
3,0.9988996,2.8730471628548435e-05,0.9986024,0.00011618020485434136,15.894977655826452,0.1291250975250169,12,0.9185987022126012,0.2576753770859016,4.022580935673252,5.783015865898744,5.985653060506591,353,0
4,0.9993074,1.284678948221751e-05,0.9991206,7.135712998715227e-05,15.763208325433695,0.5739848471861102,2,0.9717461111446621,0.05242211894034415,5.562588184228952,4.724262879417147,18.089746651774167,2803,0
5,0.9995068000000001,9.325234581484139e-06,0.9991956000000002,6.291136622262729e-05,25.510381366276487,0.7330531146754677,11,0.6449889610833277,0.42314897690615527,18.5598928803108,7.914518726460603,3.420003166130805,63,0
6,0.9993548000000001,1.6092234151916414e-05,0.9991490000000001,6.510299532280177e-05,1.2184296303991529,0.8202590308559818,2,0.5614631256093265,0.35649567151965983,19.879030944171983,9.431485377513905,19.385672613088488,638,0
7,0.9989896,2.060679499582895e-05,0.9989176000000001,7.4840096205184e-05,29.026789315441164,0.8872815960041918,3,0.6596487109343334,0.0037620564388617383,19.99764183860915,8.51486483953983,19.93092086735015,3000,0
8,0.9998614,8.039900496891496e-06,0.9990764000000001,8.52187772735773e-05,1.0355941954070773,0.6616340453778716,11,0.7533858234527835,0.39153959208320227,19.744482680728176,0.33076572543195515,0.3024437816563297,15,2
9,0.999534,1.1045361017179208e-05,0.9991196,8.55350220669854e-05,29.47175942993308,0.18731611594931702,13,0.9814985953919407,0.4311538400529028,0.019577647774839946,9.288507815882502,19.753824443154,294,0
10,0.9998999999999999,4.242640687136613e-06,0.9991369999999999,9.789177697847104e-05,1.0637310146367125,0.24468553264569728,13,0.848644906183162,0.19026586816652974,19.845606660326915,0.31927892377340394,19.84416570256147,196,2
11,0.9992248,1.723252738281801e-05,0.999091,7.849331181699156e-05,29.580515824337766,0.4898451716976363,2,0.5034202721656421,0.025617546390690082,19.145569735233536,0.43902202773950516,0.1685261224754786,2947,0
12,0.9995330000000001,6.693280212232854e-06,0.9992082,5.459450521801896e-05,1.4154536967365883,0.6897357287250108,4,0.822056656775277,0.17546960792884836,0.009615996614025235,9.73626808166469,19.656224324286974,444,0
13,0.999426,1.1045361017173179e-05,0.9991340000000001,5.8586687907718864e-05,29.40751410665779,0.5542326519795786,2,0.895008000237079,0.46451329242931977,0.2461450135564669,1.1197607862872039,0.3253545658788193,502,0
14,0.9993918,7.222188034098352e-06,0.999147,5.2049975984653e-05,1.1649527302084608,0.6785823965629905,2,0.8748665658623237,0.40395434945810843,0.3831452338713026,0.0722363606976284,18.606845310809707,431,0
15,0.9997548,7.934733769931181e-06,0.9992528,5.35290575295392e-05,1.67572078287766,0.7292420072477829,12,0.9008772620187517,0.2559633171020114,19.402874998845434,8.77070631379687,0.14185385836733344,61,0
